song_title,artist,popularity,energy,liveness,tempo,speechiness,acousticness,instrumentalness,time_signature,danceability,key,duration,loudness,valence,mode
Jalousie,"Angèle,",67,0.443,0.118,89.951,0.0411,0.811,6.16e-05,4,0.588,7,225707,-10.019,0.335,0
Waow (feat. Nekfeu),"PLK,Nekfeu,",68,0.744,0.098,119.944,0.143,0.216,0,4,0.77,1,194934,-8.001,0.32,1
Chambre 122,"Koba LaD,",73,0.584,0.0957,138.009,0.293,0.24,1.26e-05,4,0.881,7,196973,-5.823,0.324,1
Feu de bois,"Damso,",75,0.633,0.092,138.097,0.0734,0.256,1.31e-06,4,0.789,2,183307,-6.269,0.262,1
Bae,"RK,",73,0.654,0.0999,119.966,0.0523,0.632,0,5,0.835,9,174840,-5.971,0.658,1
Billets verts,"Maes,",75,0.59,0.108,154.051,0.0745,0.642,1.82e-06,4,0.662,1,168857,-8.762,0.393,1
Django,"Dadju,Franglish,",76,0.587,0.159,195.927,0.253,0.416,0,4,0.619,8,249240,-6.771,0.717,0
1000°C,"Lomepal,Roméo Elvis,",74,0.539,0.11,102.952,0.113,0.294,4.79e-05,4,0.732,3,237120,-8.084,0.403,0
Entre les murs (feat. Ninho),"DA Uzi,Ninho,",72,0.308,0.0918,120.081,0.267,0.222,0,4,0.859,4,212250,-13.086,0.406,0
La loi de Murphy,"Angèle,",66,0.734,0.144,191.141,0.471,0.142,4.41e-05,4,0.354,2,195173,-8.452,0.259,0
"Audio - with Sia, Diplo & Labrinth","Sia,Diplo,Labrinth,LSD,",85,0.692,0.0862,89.998,0.0671,0.192,1.51e-06,4,0.365,3,203400,-4.586,0.372,0
Alright,"Jain,",65,0.611,0.035,184.055,0.068,0.0181,6.64e-06,4,0.685,8,222493,-8.057,0.598,0
Ta reine,"Angèle,",67,0.44,0.0901,107.091,0.0801,0.822,3.98e-06,4,0.668,9,213200,-10.607,0.127,0
24 carats,"RK,",68,0.617,0.0733,160.06,0.366,0.543,0,4,0.761,2,211760,-7.119,0.471,1
Suge,"Koba LaD,",71,0.622,0.0883,149.928,0.419,0.172,0,4,0.585,5,194213,-6.398,0.604,0
500 PS,"Bonez MC,RAF Camora,",77,0.924,0.0902,139.976,0.0439,0.391,0.00448,4,0.805,7,181971,-5.883,0.836,0
Kokain,"Bonez MC,RAF Camora,Gzuz,",77,0.677,0.543,170.117,0.363,0.231,0,4,0.615,5,209232,-7.906,0.608,0
Nummer unterdrückt,"Bonez MC,RAF Camora,",79,0.749,0.15,139.962,0.0881,0.2,0.00124,4,0.812,0,208795,-6.296,0.773,1
BONNIE & CLYDE,"Loredana,Mozzik,",84,0.62,0.085,169.985,0.266,0.11,1.61e-05,4,0.792,8,175907,-4.832,0.637,0
Risiko,"Bonez MC,RAF Camora,",75,0.737,0.159,117.027,0.0931,0.155,0.407,4,0.772,5,223381,-7.211,0.229,1
Ja Mann!,"Bonez MC,RAF Camora,",77,0.749,0.0971,101.95,0.364,0.432,0.000118,4,0.748,8,188435,-7.645,0.386,1
Kompanie,"Bonez MC,RAF Camora,Hanybal,",77,0.65,0.12,109.88,0.189,0.171,1.97e-05,4,0.815,1,159127,-7.031,0.352,1
Prominent,"Bonez MC,RAF Camora,",77,0.557,0.101,93.996,0.234,0.558,0,4,0.671,11,158555,-7.71,0.414,0
Facetime,"Dardan,",83,0.682,0.113,102.004,0.173,0.319,0,4,0.701,4,192947,-6.873,0.446,0
MoneyGram,"Luciano,",80,0.796,0.148,160.037,0.216,0.0522,0.000369,4,0.781,0,157800,-6.174,0.575,1
Von ihnen gelernt,"Bonez MC,RAF Camora,",76,0.7,0.126,115.948,0.0417,0.122,0.000284,4,0.636,4,232124,-6.445,0.237,0
UFF,"Veysel,Gzuz,",81,0.828,0.314,139.972,0.232,0.041,0,4,0.815,4,167627,-3.559,0.311,1
Dior 2001,"RIN,",74,0.699,0.123,76.854,0.143,0.0117,0.093,4,0.43,1,192941,-5.892,0.473,1
Alien,"Bonez MC,RAF Camora,",76,0.577,0.148,104.711,0.267,0.352,0.0389,4,0.677,2,214381,-7.955,0.166,1
Melodien (feat. Juju),"Capital Bra,Juju,",84,0.529,0.0944,100.262,0.143,0.0849,0,4,0.751,11,159518,-7.407,0.33,0
100,"Bonez MC,RAF Camora,Trettmann,KitschKrieg,",75,0.464,0.0724,93.013,0.452,0.263,0,4,0.703,0,218633,-9.282,0.726,1
Inshallah (feat. Capital Bra),"Bushido,Capital Bra,",79,0.759,0.125,159.228,0.309,0.101,0,4,0.54,9,173299,-4.874,0.272,0
MDMA,"Bonez MC,RAF Camora,",75,0.558,0.194,122.113,0.349,0.305,0.00063,3,0.63,9,186374,-9.043,0.295,0
Nein,"Bonez MC,RAF Camora,",75,0.749,0.102,172.061,0.0625,0.168,0.00967,4,0.594,1,194987,-6.017,0.533,0
Krimineller,"Bonez MC,RAF Camora,Kontra K,",74,0.77,0.136,112.997,0.169,0.503,0.000668,4,0.819,4,187503,-6.581,0.505,0
Prophezeit,"Bonez MC,RAF Camora,",74,0.799,0.248,158.981,0.14,0.268,1.92e-05,5,0.496,10,162291,-5.499,0.261,0
Copacabana,"Leon Machère,Stard Ova,KALUMA,",80,0.849,0.156,97.893,0.24,0.0598,0,4,0.735,2,209407,-5.709,0.623,1
Casanova,"Summer Cem,Bausa,",81,0.588,0.117,143.971,0.0721,0.0971,0,4,0.709,1,206813,-4.461,0.195,1
INTERNATIONAL GANGSTAS,"Farid Bang,Capo,6ix9ine,SCH,",81,0.622,0.099,148.04,0.203,0.0965,0,4,0.74,1,286280,-6.297,0.393,1
Mercedes,"Eno,",80,0.782,0.104,77.511,0.258,0.381,0,4,0.775,6,208000,-6.435,0.802,1
Roadrunner,"Samra,",71,0.733,0.178,103.856,0.457,0.14,0,4,0.68,2,172067,-5.618,0.614,0
"Immer wenn wir uns sehn (""Das schönste Mädchen der Welt"", Soundtrack)","LEA,Cyril,",77,0.779,0.16,169.796,0.26,0.397,0,4,0.582,1,185013,-4.797,0.468,0
Chaya (feat. Trettmann),"Nura,Trettmann,",74,0.569,0.113,100.06,0.0612,0.11,0,4,0.824,9,156080,-5.972,0.239,0
Vagabund,"Bausa,",78,0.557,0.0812,102.94,0.0536,0.224,0.000587,4,0.894,2,153188,-7.655,0.651,1
Blah Blah Blah,"Armin van Buuren,",72,0.963,0.294,103.406,0.0682,0.00882,0.00357,3,0.378,5,183519,-3.911,0.16,0
BlaBla,"Azzi Memo,Nimo,",64,0.788,0.0938,111.975,0.248,0.0366,3.41e-06,4,0.852,6,216717,-6.369,0.524,1
Whenever (feat. Conor Maynard),"Kris Kross Amsterdam,The Boy Next Door,Conor Maynard,",89,0.765,0.231,109.989,0.0621,0.151,0,4,0.734,7,163636,-5.562,0.518,1
Malle,"Eno,XATAR,",70,0.816,0.208,139.564,0.37,0.041,0,4,0.674,7,181347,-6.16,0.727,1
Für Euch alle (feat. Samra & Capital Bra),"Bushido,Samra,Capital Bra,",66,0.588,0.0874,159.975,0.509,0.0627,2.59e-06,4,0.716,11,258400,-6.457,0.368,0
No Es Justo,"J Balvin,Zion & Lennox,",88,0.811,0.0871,87.866,0.0714,0.161,0.000363,4,0.684,7,250840,-4.494,0.721,1
Aerolínea Carrillo,"T3R Elemento,Gerardo Ortiz,",80,0.561,0.198,114.405,0.0318,0.337,0,3,0.669,1,174276,-6.613,0.867,1
Mala Mía,"Maluma,",91,0.752,0.232,180.049,0.345,0.31,0,4,0.749,6,183753,-4.883,0.901,1
Culpables,"Manuel Turizo,",87,0.31,0.198,177.601,0.296,0.94,5.65e-06,4,0.573,3,233930,-11.134,0.764,1
Clandestino,"Shakira,Maluma,",91,0.822,0.349,165.842,0.16,0.39,3.37e-05,4,0.766,1,231921,-4.126,0.881,0
No Me Acuerdo,"Thalía,Natti Natasha,",90,0.799,0.092,94.033,0.0873,0.187,0,4,0.836,7,217653,-4.247,0.772,0
Sin Pijama,"Becky G,Natti Natasha,",93,0.745,0.104,94.014,0.0464,0.354,2.93e-05,4,0.791,11,188560,-3.695,0.82,0
Nunca Es Suficiente,"Los Angeles Azules,Natalia Lafourcade,",63,0.518,0.0891,94.001,0.0406,0.398,0,4,0.789,2,266213,-5.417,0.78,0
Asesina,"Brytiago,Darell,",90,0.663,0.114,94.215,0.27,0.614,0,4,0.845,10,187213,-5.233,0.508,0
Baby Girl (feat. Lalo Ebratt),"Mario Bautista,Lalo Ebratt,",78,0.705,0.202,103.009,0.199,0.0275,0.000138,4,0.804,1,218470,-5.272,0.45,1
Cuando Nadie Ve,"Morat,",85,0.788,0.215,96.005,0.0598,0.118,0,4,0.804,1,219184,-4.586,0.837,0
Epa Wei,"Danny Ocean,",84,0.82,0.091,107.833,0.155,0.233,0,4,0.688,6,208254,-4.715,0.804,0
No Te Contaron Mal,"Christian Nodal,",77,0.57,0.143,163.2,0.0374,0.388,0,4,0.617,9,156947,-3.074,0.632,0
La Player (Bandolera),"Zion & Lennox,",89,0.838,0.0935,93.996,0.0633,0.16,0,4,0.769,2,249609,-5.238,0.602,1
La Mujer Perfecta,"KURT,",78,0.488,0.109,155.11,0.0669,0.242,8.09e-06,4,0.824,9,217907,-9.112,0.878,1
Ahora Te Puedes Marchar,"Luis Miguel,",80,0.877,0.0627,133.263,0.0427,0.148,2.36e-06,4,0.78,6,191973,-3.683,0.909,0
A Través Del Vaso,"Grupo Arranke,",78,0.694,0.347,143.851,0.0297,0.358,1.31e-05,3,0.612,5,188662,-2.979,0.92,1
No Hay Nadie Más,"Sebastian Yatra,",81,0.379,0.106,105.108,0.0339,0.861,0,4,0.695,6,199733,-9.096,0.808,1
Chica Paranormal,"Paulo Londra,",87,0.596,0.0897,139.937,0.0918,0.216,0,4,0.84,6,221214,-4.319,0.71,0
Nena Maldicion (feat. Lenny Tavarez),"Paulo Londra,Lenny Tavárez,",85,0.631,0.146,118.969,0.0544,0.178,0,4,0.762,6,228875,-4.837,0.379,1
Mejor Me Alejo,"Banda Sinaloense MS de Sergio Lizárraga,",69,0.378,0.106,124.084,0.0431,0.206,3.95e-06,4,0.823,0,201960,-6.906,0.54,1
Por Perro,"Sebastian Yatra,Luis Figueroa,Lary Over,",80,0.762,0.0852,172.009,0.0501,0.429,0,4,0.684,0,245440,-5.18,0.892,1
Me Niego,"Reik,Ozuna,Wisin,",89,0.779,0.636,94.023,0.0972,0.0543,0,4,0.777,0,221653,-4.449,0.768,0
Toda - Remix,"Alex Rose,Rauw Alejandro,Cazzu,Lenny Tavárez,Lyanno,",89,0.452,0.0672,80.04,0.124,0.16,0,4,0.512,5,367680,-7.217,0.364,0
Me Rehúso,"Danny Ocean,",85,0.804,0.0494,104.823,0.0677,0.0231,0,4,0.744,1,205715,-6.327,0.426,1
En Peligro de Extinción,"La Adictiva Banda San José de Mesillas,",77,0.483,0.241,123.566,0.0281,0.219,2.33e-06,4,0.709,0,234198,-3.734,0.834,1
Déjala Que Vuelva (feat. Manuel Turizo),"Piso 21,Manuel Turizo,",76,0.788,0.0753,170.019,0.0785,0.0482,0,4,0.681,1,220117,-4.323,0.839,1
"1, 2, 3 (feat. Jason Derulo & De La Ghetto)","Sofia Reyes,Jason Derulo,De La Ghetto,",88,0.895,0.0501,94.968,0.0589,0.165,0,4,0.792,1,201526,-3.112,0.794,0
Culpable O No - Miénteme Como Siempre,"Luis Miguel,",79,0.367,0.0433,70.276,0.0277,0.0367,0,4,0.54,0,237240,-14.238,0.252,1
Culo,"Bizzey,Frenna,KM,Ramiks,",76,0.854,0.322,174.054,0.111,0.119,0.00408,4,0.689,8,196638,-3.602,0.796,1
Verleden Tijd,"Frenna,Lil' Kleine,",84,0.661,0.114,104.884,0.0916,0.131,5.45e-06,4,0.771,10,195469,-6.718,0.183,1
RATATA,"Boef,",75,0.514,0.156,180.059,0.309,0.139,0,4,0.789,7,170812,-7.788,0.29,1
Djadja,"Aya Nakamura,",85,0.698,0.113,97.985,0.244,0.117,0,4,0.832,5,170160,-6.215,0.559,1
Ik Heb Je Nodig,"Kraantje Pappie,Bizzey,Jonna Fraser,",72,0.696,0.15,110.013,0.0642,0.369,0,4,0.758,5,187635,-6.487,0.669,1
SLIDE,"Caza,Famke Louise,",75,0.753,0.132,96.99,0.0504,0.0388,1.03e-06,4,0.747,4,112864,-5.703,0.724,0
Lief Zoals Je Bent,"Maan,",74,0.655,0.0884,77.033,0.0976,0.152,0,4,0.874,2,171546,-4.479,0.646,0
Duurt Te Lang,"Davina Michelle,",66,0.444,0.0905,173.707,0.196,0.127,0,4,0.638,7,153527,-14.221,0.151,1
High On Life (feat. Bonn),"Martin Garrix,Bonn,",90,0.486,0.111,128.038,0.0311,0.0129,0,4,0.414,6,230762,-6.431,0.368,0
lil mama,"Idaly,Josylvio,",75,0.571,0.0407,101.989,0.196,0.0664,0,4,0.904,6,145363,-6.026,0.744,0
wine slow - Remix,"Idaly,Ronnie Flex,Famke Louise,Bizzey,",76,0.733,0.0878,96.015,0.0595,0.306,0.147,4,0.817,5,225175,-6.84,0.801,1
"Miljonair (feat. SBMG, Lil' Kleine, Boef & Ronnie Flex)","$hirak,SBMG,Boef,Lil' Kleine,Ronnie Flex,",78,0.658,0.305,125.186,0.162,0.579,0,4,0.704,7,189514,-5.534,0.715,0
Capuchon,"Frenna,",73,0.696,0.12,70.722,0.354,0.0207,0,3,0.527,6,163794,-6.085,0.531,0
J'ai Déconné,"Latifah,Clandistino,",75,0.746,0.0879,121.917,0.0392,0.262,1.84e-05,4,0.709,6,168219,-6.177,0.623,0
Happy Now,"Zedd,Elley Duhé,",92,0.741,0.0712,88.335,0.047,0.579,1.49e-06,3,0.503,4,207030,-5.128,0.458,1
Stap Voor Stap,"Kav Verhouzer,Sjaak,",74,0.901,0.0865,124.038,0.157,0.00697,9.97e-05,4,0.897,11,163987,-3.733,0.897,0
Killer Instinct,"Josylvio,Appa,Momi,",67,0.795,0.298,159.962,0.329,0.135,0,4,0.818,4,240785,-5.143,0.782,1
Intro,"Josylvio,Moeman,",70,0.628,0.0829,113.53,0.356,0.0589,0,5,0.822,6,181185,-5.823,0.598,1
La Vida Loca,"Jonna Fraser,SBMG,",71,0.702,0.137,104.966,0.271,0.239,0,4,0.857,8,176226,-6.835,0.651,0
Darkside,"Alan Walker,Au/Ra,Tomine Harket,",89,0.642,0.118,170.008,0.0502,0.164,0,4,0.425,4,211867,-5.06,0.112,0
Drama,"Bizzey,Boef,",76,0.751,0.125,99.964,0.0645,0.119,0.0337,4,0.883,4,176550,-4.718,0.726,1
Jackie Chan,"Tiësto,Dzeko,Preme,Post Malone,",94,0.834,0.0586,128.005,0.045,0.374,0,4,0.747,3,215760,-2.867,0.687,0
Liefde In De Lucht,"Kraantje Pappie,Joshua Nolet,",59,0.699,0.106,81.013,0.117,0.138,0,4,0.748,2,213037,-6.457,0.849,1
Ik Zweer Het Je,"Young Ellens,3robi,Esko,",71,0.777,0.0922,120.027,0.168,0.012,0,4,0.969,11,150338,-4.35,0.883,1
Hurt Somebody,"Noah Kahan,Julia Michaels,",63,0.559,0.262,114.983,0.313,0.338,0,4,0.633,6,168640,-5.135,0.473,1
"My Money (feat. Bokoesam, Bizzey & Dopebwoy)","$hirak,Bizzey,Dopebwoy,Bokoesam,",72,0.42,0.356,99.956,0.282,0.0226,7.67e-06,4,0.895,7,180687,-6.669,0.253,1
Hoe Je Bent,"Broederliefde,Frenna,",69,0.85,0.0959,125.95,0.0982,0.153,0.000744,4,0.811,4,196113,-5.939,0.722,1
LIT,"SBMG,Boef,",74,0.772,0.251,100.076,0.363,0.0166,0,4,0.913,7,204410,-8.009,0.681,1
Hey Meisje,"Esko,Josylvio,Hansie,",71,0.808,0.0652,95.087,0.073,0.329,0.0183,4,0.756,1,197290,-2.557,0.889,0
The Ringer,"Eminem,",92,0.551,0.192,118.552,0.291,0.0311,0,4,0.939,1,337941,-9.126,0.42,1
Fall,"Eminem,",90,0.546,0.112,182.973,0.295,0.227,0,4,0.83,1,262494,-5.716,0.535,1
Not Alike (feat. Royce Da 5'9),"Eminem,Royce Da 5'9"",",89,0.756,0.339,140.005,0.32,0.0692,0,4,0.904,10,288087,-3.746,0.342,1
Greatest,"Eminem,",89,0.737,0.341,80.025,0.108,0.0441,0,4,0.809,1,226938,-5.186,0.367,1
Multi Millionaire (feat. Lil Uzi Vert),"Lil Pump,Lil Uzi Vert,",80,0.817,0.169,145.976,0.101,0.0263,0,4,0.854,1,170959,-3.833,0.704,1
TELÉFONO,"Aitana,",84,0.829,0.0698,172.161,0.158,0.102,0.000177,4,0.691,11,163294,-4.627,0.564,0
Mujeres,"Mozart La Para,Justin Quiles,",83,0.767,0.261,99.972,0.0686,0.204,7.93e-05,4,0.835,1,187667,-5.699,0.71,0
Ibiza,"Ozuna,Romeo Santos,",86,0.71,0.108,192.046,0.334,0.254,0,4,0.691,5,200747,-5.144,0.726,1
Ni La Hora,"Ana Guerra,Juan Magán,",81,0.789,0.179,90.054,0.101,0.235,0,4,0.789,0,198407,-2.738,0.958,1
Usted,"Juan Magán,Mala Rodríguez,",83,0.833,0.273,104.879,0.0618,0.0155,0,4,0.712,0,233749,-4.101,0.326,1
Ya No Quiero Ná,"Lola Indigo,",80,0.467,0.0803,129.016,0.173,0.12,7.6e-05,4,0.846,2,192975,-7.178,0.367,1
Lo siento,"Beret,",77,0.407,0.138,79.839,0.0446,0.576,0,4,0.419,11,229939,-9.011,0.309,0
Déjala Que Baile,"Melendi,Alejandro Sanz,Arkano,",79,0.777,0.0796,95.973,0.174,0.356,0,4,0.831,11,219600,-4.456,0.598,0
Qué Tienes Tú,"Dvicio,Jesús Reik,Mau y Ricky,",79,0.836,0.166,91.984,0.0592,0.0811,4.21e-06,4,0.744,2,212348,-3.267,0.524,1
Bien Duro,"C. Tangana,",79,0.67,0.1,101.028,0.207,0.163,0.0242,4,0.845,7,182541,-5.873,0.69,1
Vuelve,"Sebastian Yatra,Beret,",79,0.474,0.135,77.811,0.052,0.559,0,4,0.716,11,224013,-6.714,0.302,1
Tanta Falta,"Bryant Myers,",76,0.728,0.2,89.999,0.0916,0.135,1e-06,4,0.856,7,181093,-3.497,0.797,1
Él no soy yo,"Blas Cantó,",62,0.727,0.115,120.003,0.0324,0.00953,0,4,0.67,1,279240,-7.679,0.405,0
MALAMENTE - Cap.1: Augurio,"ROSALÍA,",78,0.483,0.0737,98.057,0.0881,0.565,0.0137,4,0.895,5,149450,-4.709,0.52,0
Está Rico,"Marc Anthony,Will Smith,Bad Bunny,",82,0.74,0.0992,130.04,0.283,0.266,0,4,0.817,11,215151,-4.566,0.674,0
No Quiero Amarte (feat. Zion & Lennox),"Justin Quiles,Zion,Lennox,",87,0.793,0.0658,89.961,0.0454,0.128,0,4,0.734,6,235315,-4.731,0.511,1
La Cintura,"Alvaro Soler,",75,0.845,0.358,100.015,0.0692,0.0201,0,4,0.706,6,204653,-4.102,0.742,0
Me Dijeron,"Ozuna,",87,0.841,0.291,94.021,0.0524,0.0273,0,4,0.8,5,170133,-2.817,0.798,0
Dracukeo,"Kidd Keo,",74,0.628,0.0843,130.076,0.185,0.279,0,4,0.871,1,156003,-5.596,0.281,1
5 Sentidos,"Dvicio,Taburete,",71,0.735,0.116,175.913,0.0473,0.0961,0,4,0.644,5,209954,-5.499,0.664,1
X - Remix,"Nicky Jam,J Balvin,Maluma,Ozuna,",89,0.696,0.0778,180.113,0.103,0.0561,3.77e-05,4,0.663,9,235747,-4.957,0.738,0
"Azukita (Steve Aoki, Daddy Yankee, Play-N-Skillz & Elvis Crespo)","Steve Aoki,Daddy Yankee,Play-N-Skillz,Elvis Crespo,",82,0.942,0.0581,130.019,0.107,0.00175,0.000461,4,0.715,8,226162,-2.889,0.818,1
Mi Cama - Remix,"Karol G,J Balvin,Nicky Jam,",87,0.784,0.0958,162.958,0.0738,0.299,0,4,0.815,9,196320,-4.423,0.832,1
Hipócrita,"Anuel Aa,Zion,",88,0.858,0.61,92.05,0.0471,0.303,0,4,0.79,2,192000,-2.78,0.79,1
PIENSO EN TU MIRÁ - Cap.3: Celos,"ROSALÍA,",76,0.685,0.0922,164.555,0.0849,0.0931,0.0257,3,0.657,8,193138,-5.735,0.407,1
Don't Cry (feat. XXXTENTACION),"Lil Wayne,XXXTENTACION,",90,0.709,0.183,111.913,0.319,0.409,0,4,0.585,8,249450,-6.072,0.21,1
New Patek,"Lil Uzi Vert,",90,0.785,0.155,145.063,0.345,0.0367,0,4,0.85,8,343099,-4.963,0.718,0
Uproar,"Lil Wayne,",89,0.87,0.299,99.075,0.212,0.0595,0,4,0.743,1,194184,-2.188,0.884,1
Yes Indeed,"Lil Baby,Drake,",91,0.346,0.108,119.958,0.53,0.035,0,4,0.964,5,142273,-9.309,0.562,0
Let It Fly (feat. Travis Scott),"Lil Wayne,Travis Scott,",89,0.819,0.106,89.0,0.317,0.0414,0,4,0.902,1,186872,-3.321,0.746,1
"BIG BANK (feat. 2 Chainz, Big Sean, Nicki Minaj)","YG,2 Chainz,Big Sean,Nicki Minaj,",89,0.346,0.0881,203.911,0.331,0.00552,0,4,0.745,1,237240,-7.709,0.112,1
Fuck Love (feat. Trippie Redd),"XXXTENTACION,Trippie Redd,",91,0.533,0.103,131.036,0.0412,0.0172,0.000152,4,0.797,0,146520,-9.74,0.329,0
All Girls Are The Same,"Juice WRLD,",90,0.529,0.0856,161.989,0.307,0.0769,0.000335,4,0.671,0,165820,-7.226,0.203,1
Lean Wit Me,"Juice WRLD,",89,0.651,0.0896,163.935,0.156,0.0414,0,4,0.665,1,175755,-5.515,0.237,1
changes,"XXXTENTACION,",93,0.308,0.0984,64.934,0.029,0.883,0,4,0.669,11,121887,-10.068,0.52,1
Psycho (feat. Ty Dolla $ign),"Post Malone,Ty Dolla $ign,",92,0.559,0.112,140.124,0.117,0.58,0,4,0.739,8,221440,-8.011,0.439,1
Dedicate,"Lil Wayne,",87,0.662,0.716,117.975,0.309,0.033,0,4,0.879,2,189909,-6.162,0.723,1
Close Friends (Lil Baby & Gunna),"Lil Baby,",80,0.585,0.0789,158.953,0.366,0.044,0,4,0.665,10,203881,-5.077,0.658,0
STARGAZING,"Travis Scott,",92,0.789,0.189,150.007,0.044,0.00947,4.05e-06,4,0.487,8,270715,-3.69,0.0564,1
God's Plan,"Drake,",93,0.449,0.552,77.169,0.109,0.0332,8.29e-05,4,0.754,7,198973,-9.211,0.357,1
No mercy,"Asme,",69,0.363,0.112,147.985,0.165,0.483,0,4,0.894,9,201081,-12.344,0.713,0
Behave,"Benjamin Ingrosso,",72,0.685,0.112,124.982,0.0336,0.677,0,4,0.68,8,200093,-5.819,0.757,0
Diamond Heart,"Alan Walker,Sophia Somajo,",84,0.638,0.631,89.98,0.0438,0.129,0,4,0.499,0,239835,-6.145,0.253,1
Sand,"Molly Sandén,",70,0.3,0.309,114.741,0.0338,0.768,0,4,0.68,10,181280,-8.419,0.393,1
Kär i din kärlek - Recorded at Spotify Studios Stockholm,"Molly Sandén,",71,0.5,0.343,183.964,0.188,0.0564,7.28e-06,4,0.653,10,204080,-9.39,0.593,0
Auf wiedersehen,"Hov1,",72,0.778,0.0824,78.853,0.26,0.3,0,4,0.659,9,173769,-5.125,0.591,1
High With Somebody,"Sandro Cavazza,P3GI-13,",74,0.644,0.152,115.906,0.0813,0.0242,0.000118,4,0.785,5,174666,-7.856,0.789,1
Gäller,"Z.E,Jiggz,Thrife,",72,0.597,0.0869,100.097,0.301,0.442,9.35e-05,4,0.841,8,182400,-11.826,0.693,1
Kevin Gates,"Yasin,",67,0.684,0.0564,126.96,0.185,0.0951,0,4,0.839,1,168132,-5.4,0.516,1
Om du lämnar mig nu,"Norlie & KKV,",67,0.759,0.0597,102.158,0.0375,0.0199,0,4,0.637,7,202353,-5.255,0.373,0
Dom vet de vi,"K27,",65,0.503,0.118,105.0,0.175,0.653,0,4,0.722,10,157738,-9.595,0.704,0
Still - Recorded at Spotify Studios Stockholm,"Hov1,",72,0.765,0.133,101.868,0.0584,0.416,0,4,0.613,1,218153,-5.755,0.452,1
Without You (feat. Sandro Cavazza),"Avicii,Sandro Cavazza,",85,0.863,0.0406,134.004,0.0457,0.0018,0,4,0.653,2,181673,-4.799,0.276,1
Born To Be Yours,"Kygo,Imagine Dragons,",25,0.709,0.0979,114.02,0.0371,0.29,0,4,0.681,3,193320,-5.808,0.456,1
Mer för varandra,"Norlie & KKV,estrad,",73,0.656,0.105,85.993,0.101,0.451,0,4,0.665,6,206000,-7.541,0.542,1
Hon dansar vidare i livet,"Hov1,",69,0.651,0.133,90.054,0.122,0.0267,0,4,0.655,8,248893,-7.063,0.782,1
Positiv,"Z.E,",70,0.539,0.161,95.905,0.405,0.751,0,4,0.774,11,184375,-12.121,0.846,0
I'll Be Fine Somehow,"Benjamin Ingrosso,",67,0.355,0.101,79.992,0.0432,0.786,1.99e-06,4,0.6,6,183907,-10.446,0.412,1
I Wouldn't Know,"Benjamin Ingrosso,",64,0.765,0.267,101.018,0.069,0.176,8.1e-06,4,0.609,5,178493,-7.829,0.515,1
Aqua Aura,"Fricky,",70,0.545,0.0817,143.964,0.0489,0.126,0,4,0.775,6,222000,-8.901,0.509,0
So Good so Fine When You're Messing with My Mind,"Benjamin Ingrosso,",66,0.711,0.0951,113.942,0.0338,0.164,8.86e-06,4,0.723,6,178400,-6.757,0.555,1
Say Love,"James TW,",79,0.457,0.355,84.038,0.0541,0.119,1.15e-06,4,0.753,1,219440,-7.533,0.549,1
True Colors (feat. Maya Avedis),"XO Cupid,Maya Avedis,",68,0.63,0.13,104.845,0.0346,0.0796,0,4,0.636,0,184020,-6.396,0.454,1
Kung 'Di Rin Lang Ikaw,"December Avenue,Moira Dela Torre,",80,0.482,0.187,133.894,0.0288,0.161,0,4,0.502,4,267759,-4.736,0.132,1
Malibu Nights,"LANY,",78,0.422,0.0853,74.002,0.195,0.701,1.99e-06,4,0.559,11,286928,-11.89,0.191,1
Thru These Tears,"LANY,",72,0.517,0.149,119.945,0.0391,0.154,0,4,0.711,11,204516,-7.695,0.294,1
Kathang Isip,"Ben&Ben,",79,0.314,0.152,126.921,0.0301,0.776,4.76e-06,4,0.491,10,318814,-8.58,0.295,1
Sa Ngalan Ng Pag-Ibig,"December Avenue,",78,0.761,0.148,155.981,0.0302,0.0846,0,4,0.518,7,285138,-3.905,0.282,1
I Don't Wanna Love You Anymore,"LANY,",72,0.623,0.0858,104.974,0.0417,0.322,0,4,0.702,0,201198,-8.36,0.503,1
Sana,"I Belong to the Zoo,",76,0.373,0.226,126.887,0.029,0.701,0,4,0.66,7,277099,-7.874,0.348,1
Thick And Thin,"LANY,",73,0.551,0.0762,99.996,0.0282,0.059,0,4,0.697,5,212002,-6.179,0.339,0
Mundo,"IV Of Spades,",77,0.401,0.0735,140.031,0.0376,0.176,8.66e-06,4,0.705,6,349713,-8.9,0.481,1
If You See Her,"LANY,",73,0.679,0.0954,117.867,0.0861,0.0375,0,4,0.635,1,182901,-7.374,0.239,1
'Di Na Muli,"Janine Teñoso,",76,0.561,0.0914,88.69,0.0517,0.192,0,4,0.413,1,207019,-3.092,0.352,1
2002,"Anne-Marie,",86,0.683,0.137,96.133,0.117,0.0372,0,4,0.697,1,186987,-2.881,0.603,0
Akala,"Marion,",73,0.185,0.105,125.044,0.0635,0.864,0,4,0.502,10,341168,-11.423,0.185,1
"Kahit Maputi Na Ang Buhok ko - From ""The Hows Of Us""","Moira Dela Torre,",73,0.273,0.207,200.777,0.0312,0.535,0,4,0.264,7,219690,-8.651,0.315,1
IDGAF,"Dua Lipa,",89,0.544,0.0824,97.028,0.0943,0.0403,0,4,0.836,7,217947,-5.975,0.51,1
Ex,"Callalily,",73,0.381,0.086,157.332,0.0373,0.586,0,4,0.499,7,279259,-7.855,0.57,1
